type,review_score,total_reviews,review_bucket
Free,0.9627259036144579,5312,1k-10k
Free,0.8151933857522843,2498969,10k+
Free,0.8208955223880597,67,50-200
Free,0.891976927110645,1907,1k-10k
Free,0.6654411764705882,272,200-1k
Free,0.41379310344827586,87,50-200
Free,0.8892185954500494,21231,10k+
Free,0.8913043478260869,184,50-200
Free,0.867237687366167,1868,1k-10k
Free,0.4,135,50-200
Free,0.95,180,50-200
Free,0.8709677419354839,62,50-200
Free,0.8925170068027211,1470,1k-10k
Free,0.5914285714285714,350,200-1k
Free,0.75,108,50-200
Free,0.6453488372093024,344,200-1k
Free,0.6346153846153846,52,50-200
Free,0.9163987138263665,622,200-1k
Free,0.47368421052631576,76,50-200
Free,0.8287112561174551,613,200-1k
Free,0.6931106471816284,958,200-1k
Free,0.8888888888888888,54,50-200
Free,0.42857142857142855,161,50-200
Free,0.8609271523178808,151,50-200
Free,0.6529850746268657,268,200-1k
Free,0.9420654911838791,794,200-1k
Free,0.7543859649122807,228,200-1k
Free,0.949748743718593,199,50-200
Free,0.9276558384547849,5695,1k-10k
Free,0.6222035323801514,5945,1k-10k
Free,0.9188591099090239,4067,1k-10k
Free,0.7068965517241379,58,50-200
Free,0.9407233040873101,4673,1k-10k
Free,0.6625194401244168,643,200-1k
Free,0.46910089667986105,24758,10k+
Free,0.9052167523879501,1361,1k-10k
Free,0.927536231884058,759,200-1k
Free,0.5416666666666666,72,50-200
Free,0.5365853658536586,82,50-200
Free,0.8163826278174822,3638,1k-10k
Free,0.9038461538461539,52,50-200
Free,0.6349480968858131,578,200-1k
Free,0.95,280,200-1k
Free,0.8759894459102903,758,200-1k
Free,0.5507246376811594,69,50-200
Free,0.8121980676328503,1656,1k-10k
Free,0.47256857855361595,802,200-1k
Free,0.4873580065958226,2729,1k-10k
Free,0.7391304347826086,69,50-200
Free,0.8090452261306532,199,50-200
Free,0.6428571428571429,112,50-200
Free,0.7702863147551722,146552,10k+
Free,0.6190476190476191,105,50-200
Free,0.7636363636363637,165,50-200
Free,0.8099924299772899,1321,1k-10k
Free,0.8671875,128,50-200
Free,0.7755102040816326,98,50-200
Free,0.5833333333333334,72,50-200
Free,0.5833333333333334,60,50-200
Free,0.6069405099150141,1412,1k-10k
Free,0.39210526315789473,380,200-1k
Free,0.8271028037383178,428,200-1k
Free,0.5340909090909091,176,50-200
Free,0.36065573770491804,122,50-200
Free,0.639751552795031,1288,1k-10k
Free,0.8701298701298701,77,50-200
Free,0.8370197904540163,859,200-1k
Free,0.5307377049180327,488,200-1k
Free,0.8290155440414507,772,200-1k
Free,0.8115763546798029,812,200-1k
Free,0.6175015460729747,9702,1k-10k
